Polling_firm,Last_date_of_polling,Approve,Disapprove,Unsure/neither,Margin_of_error,Sample_size,Polling_method,Net_approval
Abacus Data,20-May-26,59%,27%,14%,±2.23 pp,"1,920",Online,32%
Abacus Data,05-May-26,57%,28%,15%,±2.0 pp,"2,478",Online,29%
Léger,26-Apr-26,57%,35%,8%,±2.51 pp,"1,521",Online,22%
Abacus Data,22-Apr-26,54%,29%,17%,±2.2 pp,"2,000",Online,25%
Spark Insights,08-Apr-26,65%,35%,—N/a,—N/a,"4,026",Online,30%
Abacus Data,08-Apr-26,54%,30%,16%,±2.39 pp,"1,680",Online,24%
Léger,30-Mar-26,58%,33%,9%,±2.43 pp,"1,618",Online,25%
Spark Insights,26-Mar-26,68%,32%,—N/a,—N/a,"4,000",Online,36%
Abacus Data,24-Mar-26,54%,30%,16%,±2.51 pp,"1,515",Online,24%
Abacus Data,11-Mar-26,56%,28%,16%,±2.2 pp,"1,931",Online,28%
Spark Insights,06-Mar-26,66%,34%,—N/a,—N/a,"3,055",Online,32%
Léger,02-Mar-26,59%,33%,8%,±2.43 pp,"1,627",Online,26%
Innovative Research,17-Feb-26,55%,41%,4%,—N/a,"1,000",Online,14%
Abacus Data,10-Feb-26,51%,29%,—N/a,±2.2 pp,"1,915",Online,22%
Abacus Data,27-Jan-26,54%,31%,—N/a,±2.0 pp,"2,498",Online,23%
Léger,26-Jan-26,58%,35%,8%,±2.44 pp,"1,611",Online,23%
Abacus Data,14-Jan-26,47%,34%,—N/a,±2.3 pp,"1,850",Online,13%
Abacus Data,09-Dec-25,47%,35%,—N/a,±1.53 pp,"1,500",Online,12%
Abacus Data,01-Dec-25,47%,33%,—N/a,±2.3 pp,"1,802",Online,14%
Léger,30-Nov-25,49%,40%,11%,±2.47 pp,"1,579",Online,9%
Abacus Data,27-Nov-25,48%,32%,—N/a,±2 pp,"2,421",Online,16%
Abacus Data,06-Nov-25,44%,34%,—N/a,±2.23 pp,"1,916",Online,10%
Léger,03-Nov-25,50%,41%,9%,±2.5 pp,"1,585",Online,9%
Abacus Data,29-Oct-25,47%,34%,—N/a,±1.8 pp,"2,922",Online,13%
Abacus Data,15-Oct-25,48%,32%,—N/a,±1.5 pp,"4,501",Online,16%
Léger,05-Oct-25,46%,42%,12%,±2.5 pp,"1,562",Online,4%
Abacus Data,01-Oct-25,46%,31%,—N/a,±2.1 pp,"1,504",Online,15%
Abacus Data,17-Sep-25,50%,30%,—N/a,±2.1 pp,"2,230",Online,20%
Ipsos,08-Sep-25,58%,42%,—N/a,±3.8 pp,"1,001",Online,16%
Léger,07-Sep-25,51%,38%,11%,±2.5 pp,"1,592",Online,13%
Abacus Data,02-Sep-25,48%,30%,—N/a,±2.5 pp,"1,500",Online,18%
Abacus Data,19-Aug-25,49%,30%,—N/a,±2.2 pp,"1,915",Online,19%
Abacus Data,07-Aug-25,50%,27%,—N/a,±2.4 pp,"1,686",Online,23%
Léger,04-Aug-25,54%,34%,12%,±2.4 pp,"1,617",Online,20%
Innovative Research,28-Jul-25,54%,40%,7%,—N/a,"3,732",Online,14%
Abacus Data,15-Jul-25,52%,27%,—N/a,±2.2 pp,"1,915",Online,25%
Léger,06-Jul-25,55%,33%,13%,±2.5 pp,"1,546",Online,22%
Abacus Data,02-Jul-25,52%,25%,—N/a,±2.5 pp,"1,500",Online,27%
Innovative Research,30-Jun-25,52%,42%,6%,—N/a,"4,029",Online,10%
Abacus Data,19-Jun-25,52%,25%,—N/a,±1.9 pp,"1,500",Online,27%
Spark Insights,09-Jun-25,67%,33%,—N/a,—N/a,"2,500",Online,34%
Abacus Data,05-Jun-25,53%,23%,—N/a,±1.9 pp,"2,585",Online,30%
Spark Insights,30-May-25,64%,36%,—N/a,—N/a,"3,450",Online,28%
Innovative Research,22-May-25,49%,43%,8%,—N/a,"2,517",Online,6%
Abacus Data,21-May-25,50%,24%,—N/a,±2.1 pp,"2,273",Online,26%